sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,aliases,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,source,version,disclaimerEn,disclaimerAr,notes
11,Radiology / Interventional Radiology,Angiogram with mechanical Thrombectomy (any body part),تصوير الأوعية مع استئصال الخثرة ميكانيكيًا، لأي موضع بالجسم,angiogram-with-mechanical-thrombectomy-any-body-part,Angiogram with mechanical Thrombectomy (any body part) | تصوير الأوعية مع استئصال الخثرة ميكانيكيًا، لأي موضع بالجسم,Whole-body or region-specific CT scanner cross-section,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Angiogram with mechanical Thrombectomy (any body part)
Procedure (Arabic): تصوير الأوعية مع استئصال الخثرة ميكانيكيًا، لأي موضع بالجسم
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Whole-body or region-specific CT scanner cross-section
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",angiogram-with-mechanical-thrombectomy-any-body-part_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/angiogram-with-mechanical-thrombectomy-any-body-part/angiogram-with-mechanical-thrombectomy-any-body-part_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/angiogram-with-mechanical-thrombectomy-any-body-part/angiogram-with-mechanical-thrombectomy-any-body-part_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
12,General Surgery / Other,Appendicectomy - Open,استئصال الزائدة الدودية بالجراحة المفتوحة,appendicectomy-open,Appendicectomy - Open | استئصال الزائدة الدودية بالجراحة المفتوحة,Appendix and lower right abdomen,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Appendicectomy - Open
Procedure (Arabic): استئصال الزائدة الدودية بالجراحة المفتوحة
Specialty: General Surgery / Other
Anatomical region / focus: Appendix and lower right abdomen
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",appendicectomy-open_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/appendicectomy-open/appendicectomy-open_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/appendicectomy-open/appendicectomy-open_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
13,Vascular Surgery,Arteriovenous Fistula,الناسور الشرياني الوريدي,arteriovenous-fistula,Arteriovenous Fistula | الناسور الشرياني الوريدي,Forearm or upper-arm artery and vein connection for dialysis access,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arteriovenous Fistula
Procedure (Arabic): الناسور الشرياني الوريدي
Specialty: Vascular Surgery
Anatomical region / focus: Forearm or upper-arm artery and vein connection for dialysis access
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arteriovenous-fistula_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/arteriovenous-fistula/arteriovenous-fistula_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arteriovenous-fistula/arteriovenous-fistula_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
14,Vascular Surgery,Arteriovenous Goretex Loop Graft,وصلة شريانية وريدية صناعية على شكل حلقة,arteriovenous-goretex-loop-graft,Arteriovenous Goretex Loop Graft | وصلة شريانية وريدية صناعية على شكل حلقة,Forearm or upper-arm artery and vein with synthetic graft for dialysis access,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arteriovenous Goretex Loop Graft
Procedure (Arabic): وصلة شريانية وريدية صناعية على شكل حلقة
Specialty: Vascular Surgery
Anatomical region / focus: Forearm or upper-arm artery and vein with synthetic graft for dialysis access
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arteriovenous-goretex-loop-graft_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/arteriovenous-goretex-loop-graft/arteriovenous-goretex-loop-graft_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arteriovenous-goretex-loop-graft/arteriovenous-goretex-loop-graft_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
15,Orthopedics,Arthrogram,تصوير المفصل بالصبغة,arthrogram,Arthrogram | تصوير المفصل بالصبغة,Affected joint and needle/contrast path,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arthrogram
Procedure (Arabic): تصوير المفصل بالصبغة
Specialty: Orthopedics
Anatomical region / focus: Affected joint and needle/contrast path
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arthrogram_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/orthopedics/arthrogram/arthrogram_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arthrogram/arthrogram_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
16,Orthopedics,Arthroplasty Consent,موافقة استبدال المفصل,arthroplasty-consent,Arthroplasty Consent | موافقة استبدال المفصل,Affected joint and surrounding bones,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arthroplasty Consent
Procedure (Arabic): موافقة استبدال المفصل
Specialty: Orthopedics
Anatomical region / focus: Affected joint and surrounding bones
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arthroplasty-consent_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/orthopedics/arthroplasty-consent/arthroplasty-consent_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arthroplasty-consent/arthroplasty-consent_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
17,Radiology / Interventional Radiology,Aspiration Drainage Under Imaging,بزل أو تصريف السوائل تحت توجيه التصوير,aspiration-drainage-under-imaging,Aspiration Drainage Under Imaging | بزل أو تصريف السوائل تحت توجيه التصوير,Fluid collection and drainage catheter,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Aspiration Drainage Under Imaging
Procedure (Arabic): بزل أو تصريف السوائل تحت توجيه التصوير
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Fluid collection and drainage catheter
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",aspiration-drainage-under-imaging_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/aspiration-drainage-under-imaging/aspiration-drainage-under-imaging_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/aspiration-drainage-under-imaging/aspiration-drainage-under-imaging_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
18,Obstetrics & Gynecology,Bartholin's Glands,غدد بارثولين,bartholin-s-glands,Bartholin's Glands | غدد بارثولين,Bartholin gland region,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Bartholin's Glands
Procedure (Arabic): غدد بارثولين
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Bartholin gland region
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",bartholin-s-glands_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/bartholin-s-glands/bartholin-s-glands_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/bartholin-s-glands/bartholin-s-glands_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
19,Radiology / Interventional Radiology,Biopsy Under Imaging,خزعة تحت توجيه التصوير,biopsy-under-imaging,Biopsy Under Imaging | خزعة تحت توجيه التصوير,Target lesion and biopsy needle path under imaging,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Biopsy Under Imaging
Procedure (Arabic): خزعة تحت توجيه التصوير
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Target lesion and biopsy needle path under imaging
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",biopsy-under-imaging_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/biopsy-under-imaging/biopsy-under-imaging_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/biopsy-under-imaging/biopsy-under-imaging_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
20,Ophthalmology,Blepharoplasty,رأب الجفن,blepharoplasty,Blepharoplasty | رأب الجفن,Upper and/or lower eyelids,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Blepharoplasty
Procedure (Arabic): رأب الجفن
Specialty: Ophthalmology
Anatomical region / focus: Upper and/or lower eyelids
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",blepharoplasty_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/blepharoplasty/blepharoplasty_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/blepharoplasty/blepharoplasty_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
21,Transfusion Medicine / Blood Transfusion,Blood and Blood Products Transfusion,نقل الدم ومشتقاته,blood-and-blood-products-transfusion,Blood and Blood Products Transfusion | نقل الدم ومشتقاته,"Intravenous line, blood bag, and infusion pathway",process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Blood and Blood Products Transfusion
Procedure (Arabic): نقل الدم ومشتقاته
Specialty: Transfusion Medicine / Blood Transfusion
Anatomical region / focus: Intravenous line, blood bag, and infusion pathway
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",blood-and-blood-products-transfusion_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/transfusion-medicine/blood-and-blood-products-transfusion/blood-and-blood-products-transfusion_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/blood-and-blood-products-transfusion/blood-and-blood-products-transfusion_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
22,Transfusion Medicine / Blood Transfusion,Blood and blood products transfusion consent,موافقة نقل الدم ومشتقاته,blood-and-blood-products-transfusion-consent,Blood and blood products transfusion consent | موافقة نقل الدم ومشتقاته,"Intravenous line, blood bag, and infusion pathway",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Blood and blood products transfusion consent
Procedure (Arabic): موافقة نقل الدم ومشتقاته
Specialty: Transfusion Medicine / Blood Transfusion
Anatomical region / focus: Intravenous line, blood bag, and infusion pathway
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",blood-and-blood-products-transfusion-consent_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/transfusion-medicine/blood-and-blood-products-transfusion-consent/blood-and-blood-products-transfusion-consent_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/blood-and-blood-products-transfusion-consent/blood-and-blood-products-transfusion-consent_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
